AssemblyName,ComponentName,"Dwg.no",Material,No,P,ProcessingSeries,S,ShipNo,Thickness,UnitBlock,Weight,Wire
99999,A,047,AH36,1,1,NCB,0,P170,6,H412A,"1,330",UA
99999,B,049,AH36,2,1,NCB,0,P170,6,H412A,768,UA
99999,1B,050,AH36,3,1,NCB,0,P170,8,H412A,2,UA
99999,2B,050,AH36,4,1,NCB,0,P170,8,H412A,3,UA
99999,3B,050,AH36,5,1,NCB,0,P170,8,H412A,3,UA
99999,4B,050,AH36,6,1,NCB,0,P170,8,H412A,4,UA
99999,5B,050,AH36,7,1,NCB,0,P170,8,H412A,3,UA
99999,6B,050,AH36,8,1,NCB,0,P170,8,H412A,3,UA
99999,7B,050,AH36,9,1,NCB,0,P170,8,H412A,3,UA
99999,51B,050,AH36,10,0,NCB,1,P170,8,H412A,2,UA
99999,52B,050,AH36,11,0,NCB,1,P170,8,H412A,3,UA
99999,53B,050,AH36,12,0,NCB,1,P170,8,H412A,3,UA
99999,54B,050,AH36,13,0,NCB,1,P170,8,H412A,4,UA
99999,55B,050,AH36,14,0,NCB,1,P170,8,H412A,3,UA
99999,56B,050,AH36,15,0,NCB,1,P170,8,H412A,3,UA
99999,57B,050,AH36,16,0,NCB,1,P170,8,H412A,6,UA
99999,1BV,050,AH36,17,1,NCB,0,P170,8,H412A,1,UA
99999,1BV,050,AH36,18,1,NCB,0,P170,8,H412A,1,UA
99999,1BV,050,AH36,19,1,NCB,0,P170,8,H412A,1,UA
99999,2BV,050,AH36,20,1,NCB,0,P170,8,H412A,1,UA
99999,2BV,050,AH36,21,1,NCB,0,P170,8,H412A,1,UA
99999,3BV,050,AH36,22,1,NCB,0,P170,8,H412A,1,UA
99999,4BV,050,AH36,23,1,NCB,0,P170,8,H412A,3,UA
99999,4BV,050,AH36,24,1,NCB,0,P170,8,H412A,3,UA
99999,51BV,050,AH36,25,0,NCB,1,P170,8,H412A,1,UA
99999,51BV,050,AH36,26,0,NCB,1,P170,8,H412A,1,UA
99999,52BV,050,AH36,27,0,NCB,1,P170,8,H412A,1,UA
99999,53BV,050,AH36,28,0,NCB,1,P170,8,H412A,1,UA
99999,53BV,050,AH36,29,0,NCB,1,P170,8,H412A,1,UA
99999,53BV,050,AH36,30,0,NCB,1,P170,8,H412A,1,UA
99999,54BV,050,AH36,31,0,NCB,1,P170,8,H412A,3,UA
99999,55BV,054,AH36,32,0,NCB,1,P170,8,H412A,2,UA
99999,C,042,AH36,33,1,NCB,0,P170,6,H412A,921,UA
